corners
2
4
5
3
2
11
5
5
3
2
7
3
2
3
4
8
0
2
6
5
4
4
4
2
3
9
5
3
19
1
12
1
6
6
3
2
3
5
2
2
5
4
3
1
7
1
14
5
7
3
