Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%)
129,Emam Ashour,207,176,85,3,0,3,7,57,3,100
130,Gustaf Lagerbielke,206,173,84,1,0,1,7,57,1,100
131,Orjan Nyland,204,138,68,0,0,0,6,0,2,50
132,Richie Laryea,202,167,83,4,25,2,15,60,1,100
132,Camilo Vargas,202,157,78,0,0,0,10,20,0,0
132,Johan Mojica,202,161,80,12,17,0,8,38,1,100
135,Roberto Alvarado,201,163,81,34,32,7,17,47,1,100
135,Lewis Ferguson,201,185,92,9,11,0,3,33,1,100
135,Djed Spence,201,177,88,9,0,5,17,65,0,0
138,Marin Pongracic,200,182,91,0,0,0,1,0,1,100
138,Bruno Guimaraes,200,161,81,12,17,0,15,33,4,75
138,Daichi Kamada,200,170,85,4,50,1,6,50,3,100
138,Lee Hanbeom,200,183,92,2,50,0,3,33,1,100
138,Victor Lindelof,200,190,95,0,0,0,3,67,1,100
143,Harry Souttar,199,171,86,0,0,1,8,38,3,33
143,Erik Lira,199,182,91,2,100,2,2,0,5,100
143,Leandro Trossard,199,171,86,11,45,10,11,55,4,75
143,Hiroki Ito,199,178,89,10,20,0,11,27,2,50
147,Arda Guler,198,170,86,14,29,6,9,67,5,80
147,Thibaut Courtois,198,144,73,0,0,0,5,0,0,0
149,Desire Doue,196,167,85,5,40,10,15,47,3,100
149,Teboho Mokoena,196,176,90,3,0,1,6,50,4,100
151,Diney Borges,195,158,81,0,0,0,8,13,9,44
152,Luc De Fougerolles,191,170,89,1,0,0,6,67,1,0
152,Mohanad Lashin,191,169,88,2,0,2,7,29,6,100
154,Ibrahim Sangare,190,172,91,1,0,0,4,50,1,100
154,Lucas Paqueta,190,162,85,5,0,2,8,63,1,100
154,Hakan Calhanoglu,190,171,90,10,10,0,5,60,7,86
157,Piero Hincapie,189,160,85,15,13,2,13,31,0,0
157,Leroy Sane,189,161,85,11,18,7,9,44,0,0
159,Reece James,188,173,92,11,27,3,8,38,3,33
159,Franck Kessie,188,165,88,4,0,2,13,46,2,50
161,Khuliso Mudau,187,168,90,5,20,3,5,20,0,0
161,Nicolas Otamendi,187,178,95,0,0,0,1,100,1,100
163,David Moller Wolfe,186,162,87,7,14,3,7,43,0,0
