group,n,mean_fouls,ci_level,ci_lower,ci_upper
Winning teams,83,11.27710843373494,0.95,10.433957617117478,12.120259250352401
Losing teams,83,12.373493975903614,0.95,11.444761411793985,13.302226540013242
