Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%)
46,Unai SimonESPESPGK,314,253,81,0,0,0,5,20,2,100
47,Torbjorn HeggemNORNORDF,301,282,94,0,0,1,4,25,0,0
48,Tim ReamUSAUSADF,298,281,94,0,0,2,6,33,5,100
49,Pedro ViteECUECUMF,297,269,91,7,43,1,9,56,2,100
49,Ousmane DembeleFRAFRAFW,297,236,79,36,17,9,29,62,6,83
49,Fabian RuizESPESPMF,297,266,90,7,29,0,12,58,3,100
52,Ricardo RodriguezSUISUIDF,295,243,82,17,18,1,24,33,4,50
52,Moises CaicedoECUECUMF,295,264,89,16,44,0,13,54,3,100
54,DaniloBRABRADF,294,262,89,7,29,1,6,50,1,100
55,Chris RichardsUSAUSADF,291,277,95,0,0,0,2,0,2,100
56,Gustavo PuertaCOLCOLDF,290,264,91,2,0,4,4,50,3,67
56,Moussa NiakhateSENSENDF,290,271,93,2,50,0,1,100,4,75
58,Jhon LucumiCOLCOLDF,285,262,92,0,0,1,6,17,12,100
59,Alex FreemanUSAUSADF,283,256,90,4,0,13,9,67,4,75
59,Lucas DigneFRAFRADF,283,252,89,17,6,0,8,50,1,100
59,Krepin DiattaSENSENDF,283,255,90,10,40,6,4,75,1,100
62,Mohamed HanyEGYEGYDF,282,245,87,17,24,4,9,56,1,100
62,Nuno MendesPORPORDF,282,239,85,21,29,8,17,53,4,100
64,Stephen EustaquioCANCANMF,281,244,87,42,38,2,15,60,3,100
65,Ime OkonRSARSADF,280,257,92,0,0,0,2,50,2,50
65,Nabil BentalebALGALGMF,280,255,91,1,0,0,3,67,1,0
67,Bruno FernandesPORPORMF,278,239,86,22,23,3,20,65,10,90
68,Nahuel MolinaARGARGDF,276,234,85,6,0,1,6,33,2,100
69,Douglas SantosBRABRADF,275,256,93,6,17,0,5,60,0,0
69,Noussair MazraouiMARMARDF,275,251,91,4,0,5,5,40,0,0
71,Jefferson LermaCOLCOLMF,274,242,88,2,50,1,2,0,1,100
72,Kristoffer AjerNORNORDF,273,256,94,2,100,3,1,100,0,0
73,Florian WirtzGERGERMF,271,223,82,12,42,14,15,67,2,100
74,Idrissa Gana GueyeSENSENMF,270,243,90,1,0,0,8,63,5,100
75,Emiliano MartinezARGARGGK,268,195,73,0,0,0,10,20,1,100
76,Josip SutaloCROCRODF,267,241,90,0,0,3,4,0,7,71
77,Jordan PickfordENGENGGK,265,190,72,0,0,0,12,42,3,33
77,Lamine YamalESPESPFW,265,225,85,40,20,35,36,72,3,100
79,Ayyoub BouaddiMARMARMF,264,237,90,0,0,6,1,100,1,100
80,Timothy CastagneBELBELDF,263,230,87,20,35,1,8,75,2,50
80,Manu KoneFRAFRAMF,263,242,92,1,0,2,3,100,2,50
82,Joao NevesPORPORMF,261,247,95,2,50,3,9,56,3,67
83,Aleksandar PavlovicGERGERMF,260,240,92,1,0,1,1,0,1,100
83,Yasser IbrahimEGYEGYDF,260,239,92,0,0,2,1,0,1,100
85,Youri TielemansBELBELMF,255,221,87,14,21,3,10,50,5,60
85,Gregor KobelSUISUIGK,255,190,75,0,0,0,6,0,2,50
87,Aurelien TchouameniFRAFRAMF,254,239,94,2,0,0,1,100,2,100
88,Ruben DiasPORPORDF,249,233,94,0,0,1,6,33,1,100
89,Luka ModricCROCROMF,248,225,91,9,44,2,9,44,2,100
90,Maxim De CuyperBELBELDF,246,203,83,16,25,3,9,44,2,100
90,Antonio RuedigerGERGERDF,246,230,93,1,0,0,4,25,0,0
92,Ramy RabiaEGYEGYDF,244,224,92,0,0,0,2,50,8,50
92,Fares ChaibiALGALGMF,244,220,90,7,0,3,10,50,3,100
94,Frenkie De JongNEDNEDMF,243,224,92,0,0,1,5,80,2,100
95,Abdulkerim BardakciTURTURDF,242,222,92,6,33,1,3,33,5,60
96,Alistair JohnstonCANCANDF,240,184,77,24,25,3,17,53,2,100
96,Jhon AriasCOLCOLMF,240,227,95,6,17,6,7,71,3,100
98,Willian PachoECUECUDF,238,217,91,0,0,1,2,0,0,0
98,Bilal El KhannoussMARMARMF,238,186,78,14,14,6,23,65,2,100
100,Ronwen WilliamsRSARSAGK,237,179,76,0,0,0,7,29,3,67
100,Johan VasquezMEXMEXDF,237,221,93,0,0,0,4,50,1,100
100,James RodriguezCOLCOLMF,237,199,84,17,29,2,14,50,9,67
103,Lee GihyukKORKORMF,236,217,92,4,0,1,3,0,4,100
104,Kylian MbappeFRAFRAFW,232,201,87,10,10,28,31,81,12,92
105,Jude BellinghamENGENGMF,231,191,83,9,11,14,21,48,6,100
105,Tyler AdamsUSAUSAMF,231,211,91,0,0,0,6,67,1,100
107,Nicolas RaskinBELBELMF,230,197,86,8,38,0,8,0,1,100
108,Dani OlmoESPESPFW,229,207,90,2,0,15,17,76,3,100
109,Mathias OliveraURUURUDF,226,213,94,3,0,1,6,50,3,100
109,Kim MinjaeKORKORDF,226,221,98,0,0,1,0,0,0,0
109,Chadi RiadMARMARDF,226,212,94,0,0,1,1,0,1,100
112,Mike MaignanFRAFRAGK,225,179,80,0,0,0,3,33,1,100
113,CasemiroBRABRAMF,224,200,89,4,25,1,8,50,4,100
114,David AlabaAUTAUTDF,222,198,89,1,0,0,5,80,1,0
115,Antonee RobinsonUSAUSADF,221,181,82,18,22,10,13,46,2,50
115,Alessandro CircatiAUSAUSDF,221,177,80,1,0,1,10,60,4,75
117,Weston MckennieUSAUSAMF,220,173,79,11,27,6,27,74,4,75
118,Nathan NgoyBELBELDF,219,205,94,0,0,0,4,25,4,100
119,Alex BaenaESPESPMF,218,178,82,44,18,5,18,67,2,100
119,Hwang InbeomKORKORMF,218,193,89,3,67,1,5,80,2,100
121,Nicolas TagliaficoARGARGDF,217,190,88,4,25,2,8,50,2,100
122,Nico OreillyENGENGDF,216,200,93,6,50,4,6,67,2,100
123,Julian AlvarezARGARGFW,215,183,85,1,0,3,4,50,4,100
124,Daniel MunozCOLCOLDF,213,194,91,9,22,0,5,20,0,0
124,Mbekezeli MbokaziRSARSADF,213,185,87,2,0,2,7,57,3,67
126,Yassine BounouMARMARGK,211,142,67,0,0,0,9,0,0,0
126,Rayan Ait NouriALGALGDF,211,190,90,9,0,12,7,57,0,0
128,Mateo KovacicCROCROMF,208,198,95,0,0,2,3,67,2,100
129,Emam AshourEGYEGYMF,207,176,85,3,0,3,7,57,3,100
130,Gustaf LagerbielkeSWESWEDF,206,173,84,1,0,1,7,57,1,100
131,Orjan NylandNORNORGK,204,138,68,0,0,0,6,0,2,50
132,Richie LaryeaCANCANDF,202,167,83,4,25,2,15,60,1,100
132,Camilo VargasCOLCOLGK,202,157,78,0,0,0,10,20,0,0
132,Johan MojicaCOLCOLDF,202,161,80,12,17,0,8,38,1,100
135,Roberto AlvaradoMEXMEXFW,201,163,81,34,32,7,17,47,1,100
135,Lewis FergusonSCOSCOMF,201,185,92,9,11,0,3,33,1,100
135,Djed SpenceENGENGDF,201,177,88,9,0,5,17,65,0,0
138,Marin PongracicCROCRODF,200,182,91,0,0,0,1,0,1,100
138,Bruno GuimaraesBRABRAMF,200,161,81,12,17,0,15,33,4,75
138,Daichi KamadaJPNJPNMF,200,170,85,4,50,1,6,50,3,100
138,Lee HanbeomKORKORDF,200,183,92,2,50,0,3,33,1,100
138,Victor LindelofSWESWEDF,200,190,95,0,0,0,3,67,1,100
143,Harry SouttarAUSAUSDF,199,171,86,0,0,1,8,38,3,33
143,Erik LiraMEXMEXMF,199,182,91,2,100,2,2,0,5,100
143,Leandro TrossardBELBELFW,199,171,86,11,45,10,11,55,4,75
143,Hiroki ItoJPNJPNDF,199,178,89,10,20,0,11,27,2,50
147,Arda GulerTURTURFW,198,170,86,14,29,6,9,67,5,80
147,Thibaut CourtoisBELBELGK,198,144,73,0,0,0,5,0,0,0
149,Desire DoueFRAFRAFW,196,167,85,5,40,10,15,47,3,100
149,Teboho MokoenaRSARSAMF,196,176,90,3,0,1,6,50,4,100
151,Diney BorgesCPVCPVDF,195,158,81,0,0,0,8,13,9,44
152,Luc De FougerollesCANCANDF,191,170,89,1,0,0,6,67,1,0
152,Mohanad LashinEGYEGYMF,191,169,88,2,0,2,7,29,6,100
154,Ibrahim SangareCIVCIVMF,190,172,91,1,0,0,4,50,1,100
154,Lucas PaquetaBRABRAMF,190,162,85,5,0,2,8,63,1,100
154,Hakan CalhanogluTURTURMF,190,171,90,10,10,0,5,60,7,86
157,Piero HincapieECUECUDF,189,160,85,15,13,2,13,31,0,0
157,Leroy SaneGERGERMF,189,161,85,11,18,7,9,44,0,0
159,Reece JamesENGENGDF,188,173,92,11,27,3,8,38,3,33
159,Franck KessieCIVCIVMF,188,165,88,4,0,2,13,46,2,50
161,Khuliso MudauRSARSADF,187,168,90,5,20,3,5,20,0,0
161,Nicolas OtamendiARGARGDF,187,178,95,0,0,0,1,100,1,100
163,David Moller WolfeNORNORDF,186,162,87,7,14,3,7,43,0,0
164,Kevin De BruyneBELBELMF,185,153,83,21,24,5,21,48,2,100
164,Denis ZakariaSUISUIMF,185,160,86,14,14,3,10,70,0,0
166,Joao CanceloPORPORDF,184,160,87,12,33,6,9,56,4,75
166,John StonesENGENGDF,184,178,97,0,0,0,1,100,3,100
168,Jose CordobaPANPANDF,183,169,92,1,0,1,1,100,2,100
168,Rafik BelghaliALGALGDF,183,168,92,5,40,3,3,67,0,0
170,Pico LopesCPVCPVDF,182,153,84,0,0,0,7,14,5,60
170,Ahmed FatouhEGYEGYDF,182,163,90,7,14,1,11,64,0,0
170,Gideon MensahGHAGHADF,182,156,86,3,0,1,6,33,2,100
173,Jack HendrySCOSCODF,180,171,95,0,0,0,2,0,1,0
174,Denzel DumfriesNEDNEDDF,179,147,82,17,29,1,13,54,0,0
175,Fredrik AursnesNORNORMF,178,158,89,4,25,1,5,20,1,100
175,Andres AndradePANPANDF,178,147,83,8,0,0,7,29,5,80
177,Ferdi KadiogluTURTURDF,175,161,92,4,0,1,9,78,1,0
178,Rodrigo BentancurURUURUMF,174,157,90,3,0,4,2,50,0,0
178,Patrick BergNORNORMF,174,161,93,13,38,5,1,0,2,100
180,Sead KolasinacBIHBIHDF,173,141,82,9,11,1,5,20,0,0
181,Aiden OneillAUSAUSMF,172,142,83,8,50,3,12,42,3,33
181,Sebastian CaceresURUURUDF,172,154,90,1,0,0,4,50,3,100
183,Marko StamenicNZLNZLMF,171,156,91,2,50,2,9,44,1,100
184,Thiago AlmadaARGARGFW,170,154,91,1,0,3,2,50,2,100
184,Cesar MontesMEXMEXDF,170,156,92,2,0,0,5,40,2,100
184,Derek CorneliusCANCANDF,170,151,89,1,0,0,2,50,1,0
187,Arthur MasuakuCODCODDF,169,141,83,14,21,2,6,67,5,80
188,Jesus GallardoMEXMEXDF,167,140,84,19,21,3,11,18,2,100
189,Luis DiazCOLCOLFW,166,145,87,6,17,7,14,50,10,100
189,VozinhaCPVCPVGK,166,117,70,0,0,1,2,0,0,0
189,Anass Salah EddineMARMARDF,166,152,92,3,0,0,1,100,0,0
192,Brahim DiazMARMARFW,165,142,86,8,38,15,13,46,0,0
192,Nikola KaticBIHBIHDF,165,148,90,0,0,0,1,0,0,0
194,Kevin DansoAUTAUTDF,164,147,90,1,0,2,1,0,1,100
194,Arthur TheateBELBELDF,164,153,93,0,0,0,0,0,0,0
194,Hans VanakenBELBELMF,164,153,93,3,0,1,2,50,2,100
197,Guela DoueCIVCIVDF,163,143,88,11,45,0,9,56,2,100
197,Malik TillmanUSAUSAMF,163,129,79,15,27,7,18,50,2,100
197,Facundo MedinaARGARGDF,163,150,92,5,40,0,2,100,0,0
200,Josip StanisicCROCRODF,162,140,86,5,20,2,9,67,3,100
