corners
2
1
1
4
9
12
11
4
5
1
9
4
1
4
6
8
5
2
7
4
3
4
14
8
12
5
1
1
0
2
3
3
8
7
5
7
9
2
5
2
8
1
2
6
3
16
5
2
3
3
