match_id,date,detailed_stage,stage_group,team,opponent,team_position,goals_for,goals_against,result_decision,result,fouls_committed
26,18/06/2026,GROUP STAGE,Group Stage,Bosnia & Herzegovina,Switzerland,Team 2,1,4,Normal Time / Extra Time,Loss,18
27,18/06/2026,GROUP STAGE,Group Stage,Canada,Qatar,Team 1,6,0,Normal Time / Extra Time,Win,9
27,18/06/2026,GROUP STAGE,Group Stage,Qatar,Canada,Team 2,0,6,Normal Time / Extra Time,Loss,10
28,19/06/2026,GROUP STAGE,Group Stage,Mexico,South Korea,Team 1,1,0,Normal Time / Extra Time,Win,9
28,19/06/2026,GROUP STAGE,Group Stage,South Korea,Mexico,Team 2,0,1,Normal Time / Extra Time,Loss,7
29,19/06/2026,GROUP STAGE,Group Stage,USA,Australia,Team 1,2,0,Normal Time / Extra Time,Win,12
29,19/06/2026,GROUP STAGE,Group Stage,Australia,USA,Team 2,0,2,Normal Time / Extra Time,Loss,16
30,19/06/2026,GROUP STAGE,Group Stage,Scotland,Morocco,Team 1,0,1,Normal Time / Extra Time,Loss,11
30,19/06/2026,GROUP STAGE,Group Stage,Morocco,Scotland,Team 2,1,0,Normal Time / Extra Time,Win,8
31,20/06/2026,GROUP STAGE,Group Stage,Brazil,Haiti,Team 1,3,0,Normal Time / Extra Time,Win,13
31,20/06/2026,GROUP STAGE,Group Stage,Haiti,Brazil,Team 2,0,3,Normal Time / Extra Time,Loss,14
32,20/06/2026,GROUP STAGE,Group Stage,Turkey,Paraguay,Team 1,0,1,Normal Time / Extra Time,Loss,14
32,20/06/2026,GROUP STAGE,Group Stage,Paraguay,Turkey,Team 2,1,0,Normal Time / Extra Time,Win,15
33,20/06/2026,GROUP STAGE,Group Stage,Netherlands,Sweden,Team 1,5,1,Normal Time / Extra Time,Win,9
33,20/06/2026,GROUP STAGE,Group Stage,Sweden,Netherlands,Team 2,1,5,Normal Time / Extra Time,Loss,12
34,20/06/2026,GROUP STAGE,Group Stage,Germany,Ivory Coast,Team 1,2,1,Normal Time / Extra Time,Win,5
34,20/06/2026,GROUP STAGE,Group Stage,Ivory Coast,Germany,Team 2,1,2,Normal Time / Extra Time,Loss,7
35,21/06/2026,GROUP STAGE,Group Stage,Ecuador,Curacao,Team 1,0,0,Normal Time / Extra Time,Draw,7
35,21/06/2026,GROUP STAGE,Group Stage,Curacao,Ecuador,Team 2,0,0,Normal Time / Extra Time,Draw,10
36,21/06/2026,GROUP STAGE,Group Stage,Tunisia,Japan,Team 1,0,4,Normal Time / Extra Time,Loss,8
36,21/06/2026,GROUP STAGE,Group Stage,Japan,Tunisia,Team 2,4,0,Normal Time / Extra Time,Win,15
37,21/06/2026,GROUP STAGE,Group Stage,Spain,Saudi Arabia,Team 1,4,0,Normal Time / Extra Time,Win,10
37,21/06/2026,GROUP STAGE,Group Stage,Saudi Arabia,Spain,Team 2,0,4,Normal Time / Extra Time,Loss,2
38,21/06/2026,GROUP STAGE,Group Stage,Belgium,Iran,Team 1,0,0,Normal Time / Extra Time,Draw,7
38,21/06/2026,GROUP STAGE,Group Stage,Iran,Belgium,Team 2,0,0,Normal Time / Extra Time,Draw,9
39,21/06/2026,GROUP STAGE,Group Stage,Uruguay,Cape Verde,Team 1,2,2,Normal Time / Extra Time,Draw,11
39,21/06/2026,GROUP STAGE,Group Stage,Cape Verde,Uruguay,Team 2,2,2,Normal Time / Extra Time,Draw,4
40,22/06/2026,GROUP STAGE,Group Stage,New Zealand,Egypt,Team 1,1,3,Normal Time / Extra Time,Loss,14
40,22/06/2026,GROUP STAGE,Group Stage,Egypt,New Zealand,Team 2,3,1,Normal Time / Extra Time,Win,8
41,22/06/2026,GROUP STAGE,Group Stage,Argentina,Austria,Team 1,2,0,Normal Time / Extra Time,Win,13
41,22/06/2026,GROUP STAGE,Group Stage,Austria,Argentina,Team 2,0,2,Normal Time / Extra Time,Loss,13
42,22/06/2026,GROUP STAGE,Group Stage,France,Iraq,Team 1,3,0,Normal Time / Extra Time,Win,8
42,22/06/2026,GROUP STAGE,Group Stage,Iraq,France,Team 2,0,3,Normal Time / Extra Time,Loss,4
43,23/06/2026,GROUP STAGE,Group Stage,Norway,Senegal,Team 1,3,2,Normal Time / Extra Time,Win,13
43,23/06/2026,GROUP STAGE,Group Stage,Senegal,Norway,Team 2,2,3,Normal Time / Extra Time,Loss,5
44,23/06/2026,GROUP STAGE,Group Stage,Jordan,Algeria,Team 1,1,2,Normal Time / Extra Time,Loss,11
44,23/06/2026,GROUP STAGE,Group Stage,Algeria,Jordan,Team 2,2,1,Normal Time / Extra Time,Win,6
45,23/06/2026,GROUP STAGE,Group Stage,Portugal,Uzbekistan,Team 1,5,0,Normal Time / Extra Time,Win,14
45,23/06/2026,GROUP STAGE,Group Stage,Uzbekistan,Portugal,Team 2,0,5,Normal Time / Extra Time,Loss,15
46,23/06/2026,GROUP STAGE,Group Stage,England,Ghana,Team 1,0,0,Normal Time / Extra Time,Draw,14
46,23/06/2026,GROUP STAGE,Group Stage,Ghana,England,Team 2,0,0,Normal Time / Extra Time,Draw,24
47,24/06/2026,GROUP STAGE,Group Stage,Panama,Croatia,Team 1,0,1,Normal Time / Extra Time,Loss,19
47,24/06/2026,GROUP STAGE,Group Stage,Croatia,Panama,Team 2,1,0,Normal Time / Extra Time,Win,12
48,24/06/2026,GROUP STAGE,Group Stage,Colombia,D.R. Congo,Team 1,1,0,Normal Time / Extra Time,Win,12
48,24/06/2026,GROUP STAGE,Group Stage,D.R. Congo,Colombia,Team 2,0,1,Normal Time / Extra Time,Loss,16
49,24/06/2026,GROUP STAGE,Group Stage,Bosnia & Herzegovina,Qatar,Team 1,3,1,Normal Time / Extra Time,Win,9
49,24/06/2026,GROUP STAGE,Group Stage,Qatar,Bosnia & Herzegovina,Team 2,1,3,Normal Time / Extra Time,Loss,14
50,24/06/2026,GROUP STAGE,Group Stage,Switzerland,Canada,Team 1,2,1,Normal Time / Extra Time,Win,19
50,24/06/2026,GROUP STAGE,Group Stage,Canada,Switzerland,Team 2,1,2,Normal Time / Extra Time,Loss,13
51,24/06/2026,GROUP STAGE,Group Stage,Morocco,Haiti,Team 1,4,2,Normal Time / Extra Time,Win,10
51,24/06/2026,GROUP STAGE,Group Stage,Haiti,Morocco,Team 2,2,4,Normal Time / Extra Time,Loss,18
52,24/06/2026,GROUP STAGE,Group Stage,Scotland,Brazil,Team 1,0,3,Normal Time / Extra Time,Loss,10
