match_id,date,detailed_stage,stage_group,team_1,team_2,team_1_score_raw,team_2_score_raw,team_1_goals,team_2_goals,result_decision,team_1_fouls,team_2_fouls
54,25/06/2026,GROUP STAGE,Group Stage,South Africa,South Korea,1,0,1,0,Normal Time / Extra Time,7,9
55,25/06/2026,GROUP STAGE,Group Stage,Curacao,Ivory Coast,0,2,0,2,Normal Time / Extra Time,11,6
56,25/06/2026,GROUP STAGE,Group Stage,Ecuador,Germany,2,1,2,1,Normal Time / Extra Time,15,10
57,26/06/2026,GROUP STAGE,Group Stage,Japan,Sweden,1,1,1,1,Normal Time / Extra Time,20,11
58,26/06/2026,GROUP STAGE,Group Stage,Tunisia,Netherlands,1,3,1,3,Normal Time / Extra Time,11,10
59,26/06/2026,GROUP STAGE,Group Stage,Paraguay,Australia,0,0,0,0,Normal Time / Extra Time,9,6
60,26/06/2026,GROUP STAGE,Group Stage,Turkey,USA,3,2,3,2,Normal Time / Extra Time,13,13
61,26/06/2026,GROUP STAGE,Group Stage,Norway,France,1,4,1,4,Normal Time / Extra Time,9,11
62,26/06/2026,GROUP STAGE,Group Stage,Senegal,Iraq,5,0,5,0,Normal Time / Extra Time,10,11
63,27/06/2026,GROUP STAGE,Group Stage,Cape Verde,Saudi Arabia,0,0,0,0,Normal Time / Extra Time,10,16
64,27/06/2026,GROUP STAGE,Group Stage,Uruguay,Spain,0,1,0,1,Normal Time / Extra Time,14,14
65,27/06/2026,GROUP STAGE,Group Stage,Egypt,Iran,1,1,1,1,Normal Time / Extra Time,11,16
66,27/06/2026,GROUP STAGE,Group Stage,New Zealand,Belgium,1,5,1,5,Normal Time / Extra Time,10,7
67,27/06/2026,GROUP STAGE,Group Stage,Croatia,Ghana,2,1,2,1,Normal Time / Extra Time,9,13
68,27/06/2026,GROUP STAGE,Group Stage,Panama,England,0,2,0,2,Normal Time / Extra Time,16,13
69,28/06/2026,GROUP STAGE,Group Stage,Colombia,Portugal,0,0,0,0,Normal Time / Extra Time,12,6
70,28/06/2026,GROUP STAGE,Group Stage,D.R. Congo,Uzbekistan,3,1,3,1,Normal Time / Extra Time,6,16
71,28/06/2026,GROUP STAGE,Group Stage,Algeria,Austria,3,3,3,3,Normal Time / Extra Time,3,7
72,28/06/2026,GROUP STAGE,Group Stage,Jordan,Argentina,1,3,1,3,Normal Time / Extra Time,13,7
73,28/06/2026,ROUND OF 32,Knockout,South Africa,Canada,0,1,0,1,Normal Time / Extra Time,10,16
74,29/06/2026,ROUND OF 32,Knockout,Brazil,Japan,2,1,2,1,Normal Time / Extra Time,4,13
75,29/06/2026,ROUND OF 32,Knockout,Germany,Paraguay,1,1p,1,1,Penalty Shootout,18,12
76,29/06/2026,ROUND OF 32,Knockout,Netherlands,Morocco,1,1p,1,1,Penalty Shootout,18,15
77,30/06/2026,ROUND OF 32,Knockout,Ivory Coast,Norway,1,2,1,2,Normal Time / Extra Time,6,7
